"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"139266",9188370,"06/23/2013 08:40:00 PM","045XX S CALUMET AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1179233,1875025,2013,41.8123578941731,-87.6180897580832,"(41.81235789417314, -87.61808975808319)"
"139437",9186808,"06/23/2013 05:00:00 PM","018XX S HAMLIN AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1151395,1890441,2013,41.8552518218939,-87.7197961096313,"(41.8552518218939, -87.71979610963128)"
"139559",9186496,"06/23/2013 02:00:00 PM","059XX W LAKE ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1136492,1902314,2013,41.888112172187,-87.7742138790644,"(41.88811217218701, -87.77421387906439)"
"139712",9186187,"06/23/2013 09:30:00 AM","057XX N ROCKWELL ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1157999,1938192,2013,41.9861521326865,-87.6942501408207,"(41.986152132686506, -87.69425014082071)"
"139721",9186239,"06/23/2013 08:45:00 AM","050XX S LAKE SHORE DR SB","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1189139,1871679,2013,41.8029442666469,-87.5818624698203,"(41.80294426664689, -87.58186246982032)"
"139759",9186515,"06/23/2013 06:30:00 AM","070XX S CREGIER AVE","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1189381,1858577,2013,41.7669855932345,-87.5813951775284,"(41.76698559323449, -87.58139517752836)"
"140188",9188246,"06/22/2013 08:30:00 PM","008XX N CENTRAL PARK AVE","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1152189,1905403,2013,41.8962935700063,-87.7164870639081,"(41.89629357000625, -87.71648706390815)"
"140505",9186494,"06/22/2013 01:00:00 PM","044XX W RICE ST","OFFENSE INVOLVING CHILDREN","CONTRIBUTE DELINQUENCY OF A CHILD",1146650,1905341,2013,41.8962309128478,-87.7368325201371,"(41.89623091284783, -87.73683252013709)"
"140529",9185367,"06/22/2013 12:23:00 PM","011XX S LAFLIN ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1166585,1895258,2013,41.8681587164052,-87.6639040095937,"(41.86815871640521, -87.66390400959368)"
"140613",9188235,"06/22/2013 10:30:00 AM","046XX N PULASKI RD","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1148844,1930800,2013,41.9660505116976,-87.7281142588835,"(41.96605051169764, -87.72811425888348)"
"140633",9185553,"06/22/2013 10:00:00 AM","061XX S NATCHEZ AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1134162,1863275,2013,41.7810242160803,-87.7836879388005,"(41.781024216080304, -87.78368793880048)"
"140646",9185197,"06/22/2013 10:00:00 AM","061XX S NATCHEZ AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1134162,1863275,2013,41.7810242160803,-87.7836879388005,"(41.781024216080304, -87.78368793880048)"
"140648",9185254,"06/22/2013 10:00:00 AM","056XX N AUSTIN AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1135272,1937375,2013,41.9843451347757,-87.7778599490119,"(41.98434513477567, -87.7778599490119)"
"141053",9184851,"06/21/2013 09:20:00 PM","040XX W WILCOX ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1149462,1899069,2013,41.8789657542985,-87.726667360883,"(41.87896575429855, -87.72666736088298)"
"141185",9184670,"06/21/2013 06:30:00 PM","100XX S SANGAMON ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1171789,1838411,2013,41.712051292291,-87.6464665452747,"(41.71205129229097, -87.64646654527472)"
"141344",9184417,"06/21/2013 02:50:00 PM","110XX S WESTERN AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1162390,1831737,2013,41.6939372781783,-87.6810735583265,"(41.69393727817833, -87.6810735583265)"
"141474",9185642,"06/21/2013 12:00:00 PM","035XX W 38TH PL","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1153356,1878879,2013,41.8234855830933,-87.7129048413691,"(41.82348558309327, -87.71290484136908)"
"141956",9183200,"06/20/2013 09:00:00 PM","051XX N MILWAUKEE AVE","OFFENSE INVOLVING CHILDREN","CHILD ABANDONMENT",1138474,1933671,2013,41.9741234613149,-87.7661734381063,"(41.974123461314896, -87.76617343810628)"
"142060",9183347,"06/20/2013 07:00:00 PM","034XX W 72ND ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1154441,1856689,2013,41.7625714488672,-87.7095150586087,"(41.762571448867234, -87.70951505860866)"
