"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"166",21177,"12/03/2013 09:27:00 PM","116XX S BISHOP ST","HOMICIDE","FIRST DEGREE MURDER",1168728,1827222,2013,41.6814133166607,-87.6579980814919,"(41.68141331666066, -87.65799808149187)"
"1060",21176,"12/02/2013 06:38:00 PM","113XX S EDBROOKE AVE","HOMICIDE","FIRST DEGREE MURDER",1179195,1829436,2013,41.6872573248746,-87.6196162355934,"(41.6872573248746, -87.61961623559338)"
"1379",21175,"12/02/2013 11:27:00 AM","061XX N BROADWAY","HOMICIDE","FIRST DEGREE MURDER",1167155,1940709,2013,41.9928664265897,-87.6605020189929,"(41.99286642658965, -87.66050201899294)"
"1779",21174,"12/01/2013 07:21:00 PM","111XX S VERNON AVE","HOMICIDE","FIRST DEGREE MURDER",1181183,1831185,2013,41.6920113969066,-87.6122848861918,"(41.69201139690663, -87.6122848861918)"
"2751",21173,"11/30/2013 01:07:00 PM","031XX W ARTHINGTON ST","HOMICIDE","FIRST DEGREE MURDER",1155734,1895831,2013,41.8699563833251,-87.7037248215465,"(41.86995638332514, -87.70372482154649)"
"4237",21172,"11/28/2013 05:22:00 AM","048XX N MOODY AVE","HOMICIDE","FIRST DEGREE MURDER",1134239,1932007,2013,41.9696331701014,-87.7817863691156,"(41.96963317010136, -87.78178636911561)"
"4992",21171,"11/27/2013 03:12:00 AM","075XX N GREENVIEW AVE","HOMICIDE","FIRST DEGREE MURDER",1164942,1950064,2013,42.0185841609058,-87.6683749234326,"(42.01858416090582, -87.6683749234326)"
"6417",21170,"11/25/2013 03:23:00 AM","029XX W JACKSON BLVD","HOMICIDE","FIRST DEGREE MURDER",1156593,1898586,2013,41.8774990496536,-87.7004965912169,"(41.87749904965356, -87.70049659121695)"
"7097",21169,"11/23/2013 11:50:00 PM","027XX E 80TH ST","HOMICIDE","FIRST DEGREE MURDER",1195680,1852489,2013,41.7501262490539,-87.5585082475513,"(41.750126249053935, -87.55850824755127)"
"7673",21168,"11/23/2013 02:47:00 AM","024XX E 100TH ST","HOMICIDE","FIRST DEGREE MURDER",1193952,1839172,2013,41.7136257343805,-87.5652757365673,"(41.71362573438054, -87.56527573656729)"
"9171",21167,"11/21/2013 10:15:00 AM","029XX W CERMAK RD","HOMICIDE","FIRST DEGREE MURDER",1156734,1889197,2013,41.8517317907771,-87.7002331058756,"(41.85173179077709, -87.70023310587555)"
"11102",21162,"11/18/2013 10:17:00 PM","016XX W 44TH ST","HOMICIDE","FIRST DEGREE MURDER",1165778,1875568,2013,41.8141446454398,-87.6674271000623,"(41.81414464543984, -87.66742710006233)"
"11229",21163,"11/18/2013 07:07:00 PM","048XX N LINCOLN AVE","HOMICIDE","FIRST DEGREE MURDER",1159357,1932236,2013,41.9697806848307,-87.6894201208111,"(41.96978068483067, -87.68942012081109)"
"13859",21164,"11/15/2013 01:30:00 PM","030XX S KARLOV AVE","HOMICIDE","FIRST DEGREE MURDER",1149483,1884327,2013,41.8385115006077,-87.7269725347,"(41.83851150060773, -87.72697253470001)"
"14420",21160,"11/14/2013 06:53:00 PM","066XX S STONY ISLAND AVE","HOMICIDE","FIRST DEGREE MURDER",1187977,1861520,2013,41.7750950000748,-87.5864476472536,"(41.77509500007484, -87.58644764725356)"
"14825",21159,"11/14/2013 09:18:00 AM","082XX S DREXEL AVE","HOMICIDE","FIRST DEGREE MURDER",1183631,1850456,2013,41.7448367508211,-87.6027237710898,"(41.744836750821115, -87.60272377108983)"
"15407",21158,"11/13/2013 02:21:00 PM","008XX W 810","HOMICIDE","FIRST DEGREE MURDER",1171835,1865770,2013,41.7871269507311,-87.6454970891076,"(41.78712695073108, -87.64549708910764)"
"15783",21157,"11/12/2013 11:53:00 PM","042XX W LAKE ST","HOMICIDE","FIRST DEGREE MURDER",1147974,1901516,2013,41.885709332487,-87.7320681226818,"(41.88570933248701, -87.73206812268177)"
