"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"285609",8949922,"12/29/2012 11:00:00 PM","045XX S RICHMOND ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1157512,1874076,2012,41.8102221750065,-87.6977882221039,"(41.81022217500654, -87.69778822210392)"
"285703",8949736,"12/29/2012 08:30:00 PM","077XX S EVANS AVE","SEX OFFENSE","PUBLIC INDECENCY",1182533,1853611,2012,41.7535199218806,-87.6066493230392,"(41.753519921880624, -87.60664932303915)"
"286737",8952738,"12/28/2012 04:40:00 PM","064XX S WOLCOTT AVE","SEX OFFENSE","PUBLIC INDECENCY",1164751,1861977,2012,41.7768710483929,-87.6715780105309,"(41.77687104839289, -87.67157801053092)"
"287848",8970121,"12/27/2012 03:00:00 AM","008XX S OAKLEY BLVD","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1161142,1896287,2012,41.8710971270352,-87.6838577372388,"(41.871097127035235, -87.68385773723875)"
"288470",8944234,"12/26/2012 02:40:00 AM","027XX W 68TH ST","SEX OFFENSE","PUBLIC INDECENCY",1159482,1859407,2012,41.7699282378257,-87.6909644771006,"(41.76992823782567, -87.69096447710064)"
"288676",8944940,"12/25/2012 06:30:00 PM","055XX S SAWYER AVE","SEX OFFENSE","SEXUAL EXPLOITATION OF A CHILD",1155696,1867774,2012,41.7929652778765,-87.7046182070784,"(41.79296527787646, -87.70461820707841)"
"288839",8950506,"12/25/2012 12:00:00 PM","084XX S ESCANABA AVE","SEX OFFENSE","ATT CRIM SEXUAL ABUSE",1196909,1849693,2012,41.7424233546739,-87.5540975298903,"(41.74242335467385, -87.55409752989031)"
"288907",8943791,"12/25/2012 07:05:00 AM","036XX W ADDISON ST","SEX OFFENSE","ATT CRIM SEXUAL ABUSE",1151461,1923730,2012,41.9465988004961,-87.7186784204104,"(41.94659880049612, -87.71867842041044)"
"291519",8950609,"12/21/2012 05:00:00 PM","053XX W SCHOOL ST","SEX OFFENSE","OTHER",1140386,1921388,2012,41.9403828426953,-87.7594448701552,"(41.94038284269534, -87.75944487015524)"
"292547",8939059,"12/20/2012 11:45:00 AM","082XX S MARYLAND AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1183382,1850413,2012,41.7447245520649,-87.6036374687052,"(41.74472455206494, -87.60363746870524)"
