"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"284430",20748,"12/31/2012 04:49:00 PM","042XX W 21ST PL","HOMICIDE","FIRST DEGREE MURDER",1148339,1889376,2012,41.8523887007201,-87.7310405490371,"(41.85238870072011, -87.73104054903715)"
"284846",20747,"12/31/2012 12:16:00 AM","033XX N KEELER AVE","HOMICIDE","FIRST DEGREE MURDER",1147868,1921643,2012,41.9409418414179,-87.7319391259933,"(41.94094184141789, -87.73193912599328)"
"285111",20746,"12/30/2012 05:10:00 PM","050XX S INDIANA AVE","HOMICIDE","FIRST DEGREE MURDER",1178420,1871373,2012,41.8023550132805,-87.6211828078928,"(41.802355013280476, -87.62118280789282)"
"285313",20745,"12/30/2012 11:00:00 AM","005XX E 514","HOMICIDE","FIRST DEGREE MURDER",1181647,1832832,2012,41.6965203181036,-87.610535531839,"(41.69652031810357, -87.61053553183899)"
"286206",20744,"12/29/2012 07:40:00 AM","042XX W 21ST PL","HOMICIDE","FIRST DEGREE MURDER",1148339,1889376,2012,41.8523887007201,-87.7310405490371,"(41.85238870072011, -87.73104054903715)"
"287201",20743,"12/28/2012 12:18:00 AM","049XX W AUGUSTA BLVD","HOMICIDE","FIRST DEGREE MURDER",1142911,1906151,2012,41.8985241592041,-87.7505450938549,"(41.898524159204115, -87.75054509385491)"
"287972",20742,"12/26/2012 09:58:00 PM","054XX S CALIFORNIA AVE","HOMICIDE","FIRST DEGREE MURDER",1158667,1868659,2012,41.7953336976382,-87.693699660828,"(41.795333697638235, -87.69369966082797)"
"288511",20739,"12/26/2012 12:30:00 AM","020XX W 69TH ST","HOMICIDE","FIRST DEGREE MURDER",1163912,1858854,2012,41.7683187883482,-87.6747414404901,"(41.76831878834824, -87.6747414404901)"
"289141",20740,"12/24/2012 08:37:00 PM","013XX S LOOMIS ST","HOMICIDE","FIRST DEGREE MURDER",1167283,1894138,2012,41.8650703780081,-87.6613737092466,"(41.86507037800811, -87.66137370924659)"
"290349",20736,"12/23/2012 06:22:00 AM","033XX W CRYSTAL ST","HOMICIDE","FIRST DEGREE MURDER",1153995,1908164,2012,41.9038341896929,-87.7097802290502,"(41.90383418969287, -87.70978022905015)"
"290355",20737,"12/23/2012 06:05:00 AM","035XX W LAKE ST","HOMICIDE","FIRST DEGREE MURDER",1152915,1901259,2012,41.8849076649715,-87.7139304579975,"(41.88490766497153, -87.71393045799755)"
"290538",20741,"12/22/2012 11:15:00 PM","0000X N LONG AVE","HOMICIDE","FIRST DEGREE MURDER",1140384,1899645,2012,41.8807176212652,-87.7599864026705,"(41.88071762126517, -87.75998640267046)"
"290715",20735,"12/22/2012 06:35:00 PM","027XX E 84TH ST","HOMICIDE","FIRST DEGREE MURDER",1196231,1849853,2012,41.7428792278314,-87.556576379611,"(41.742879227831445, -87.55657637961102)"
"292764",20734,"12/20/2012 04:26:00 AM","028XX W PRATT BLVD","HOMICIDE","FIRST DEGREE MURDER",1155945,1945018,2012,42.0049247812228,-87.7016195026919,"(42.00492478122278, -87.70161950269186)"
