"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"619048",8423496,"12/31/2011 03:00:00 PM","050XX S INDIANA AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1178407,1871849,2011,41.8036614958686,-87.6212160208505,"(41.80366149586857, -87.62121602085047)"
"619480",8420543,"12/30/2011 11:15:00 PM","018XX W MARQUETTE RD","SEX OFFENSE","SEXUAL EXPLOITATION OF A CHILD",1165135,1860287,2011,41.7722253474782,-87.6702180464756,"(41.77222534747824, -87.67021804647558)"
"619578",8420686,"12/30/2011 09:00:00 PM","061XX S WABASH AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1177814,1864163,2011,41.7825838316756,-87.6236235366919,"(41.78258383167557, -87.6236235366919)"
"620113",8420002,"12/30/2011 10:30:00 AM","004XX N COLUMBUS DR","SEX OFFENSE","PUBLIC INDECENCY",1178356,1903401,2011,41.8902435252722,-87.6204424785712,"(41.89024352527221, -87.6204424785712)"
"621530",8417838,"12/28/2011 05:00:00 PM","047XX S HOYNE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1163205,1872998,2011,41.807146586138,-87.676937137293,"(41.80714658613798, -87.67693713729304)"
"623529",8415967,"12/26/2011 01:00:00 AM","050XX W QUINCY ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1142982,1898575,2011,41.8777333849445,-87.7504733212294,"(41.87773338494448, -87.75047332122942)"
"623652",8512355,"12/25/2011 09:00:00 PM","063XX S GREENWOOD AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1184450,1863411,2011,41.7803674014533,-87.5993178170469,"(41.78036740145334, -87.59931781704685)"
"623809",8413778,"12/25/2011 02:00:00 PM","050XX W WOLFRAM ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1142453,1918444,2011,41.9322659965679,-87.7519212290491,"(41.93226599656793, -87.75192122904913)"
"623955",8522109,"12/25/2011 05:00:00 AM","022XX W 91ST ST","SEX OFFENSE","ATT AGG CRIMINAL SEXUAL ABUSE",1162846,1844216,2011,41.7281722586128,-87.6790568539956,"(41.7281722586128, -87.6790568539956)"
"624105",8413279,"12/24/2011 11:00:00 PM","035XX W DICKENS AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1152523,1913688,2011,41.9190217808433,-87.7150410001794,"(41.91902178084332, -87.71504100017943)"
"624999",8412287,"12/23/2011 07:45:00 PM","045XX N LEAVITT ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1160835,1930053,2011,41.9637598179311,-87.6840463021977,"(41.96375981793114, -87.68404630219766)"
"625659",8411347,"12/23/2011 02:43:00 AM","007XX W WAVELAND AVE","SEX OFFENSE","PUBLIC INDECENCY",1170998,1924958,2011,41.9495615704692,-87.6468304603783,"(41.94956157046925, -87.64683046037834)"
"625996",8411034,"12/22/2011 06:15:00 PM","071XX W WELLINGTON AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1128094,1919088,2011,41.9342882898717,-87.8046751426416,"(41.93428828987168, -87.80467514264164)"
"626145",8410903,"12/22/2011 02:47:00 PM","029XX N PULASKI RD","SEX OFFENSE","ATT CRIM SEXUAL ABUSE",1149181,1919019,2011,41.9337159851476,-87.7271815148124,"(41.93371598514763, -87.7271815148124)"
"626216",8411687,"12/22/2011 01:10:00 PM","073XX N DAMEN AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1161621,1948563,2011,42.0145355303622,-87.68063776526,"(42.01453553036216, -87.68063776525999)"
"626283",8904253,"12/22/2011 12:00:00 PM","007XX N LONG AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",NA,NA,2011,NA,NA,""
"627008",8410213,"12/21/2011 03:30:00 PM","038XX S WELLS ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1175345,1879435,2011,41.8245472419574,-87.6322188310922,"(41.82454724195738, -87.63221883109225)"
"627104",8411195,"12/21/2011 02:00:00 PM","123XX S STATE ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1178435,1823340,2011,41.6705462276442,-87.6225825730767,"(41.67054622764421, -87.62258257307666)"
"629307",8405093,"12/19/2011 07:45:00 AM","031XX W LAWRENCE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1154383,1931679,2011,41.9683533705365,-87.7077246772887,"(41.96835337053654, -87.70772467728867)"
"629418",8404777,"12/19/2011 12:53:00 AM","002XX N LA CROSSE AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1143965,1901069,2011,41.8845588480196,-87.7468013667881,"(41.88455884801956, -87.7468013667881)"
"629452",8907066,"12/19/2011 12:00:00 AM","018XX W 46TH ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",NA,NA,2011,NA,NA,""
"629817",8408135,"12/18/2011 03:40:00 PM","069XX N SHERIDAN RD","SEX OFFENSE","INDECENT SOLICITATION/CHILD",1166843,1946159,2011,42.0078280518942,-87.6614923617308,"(42.00782805189421, -87.66149236173082)"
"629902",8404223,"12/18/2011 01:30:00 PM","004XX S STATE ST","SEX OFFENSE","PUBLIC INDECENCY",1176394,1898484,2011,41.8767955076019,-87.6277962199487,"(41.87679550760188, -87.62779621994866)"
"630285",8403835,"12/18/2011 12:00:00 AM","054XX S EVERETT AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1188927,1869317,2011,41.7964678607033,-87.5827156018228,"(41.796467860703345, -87.58271560182278)"
"630683",8417775,"12/17/2011 02:00:00 PM","029XX S STATE ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1176856,1885433,2011,41.8409722600133,-87.6264944161482,"(41.84097226001326, -87.62649441614816)"
"631105",8429989,"12/17/2011 12:00:00 AM","087XX S STONY ISLAND AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1188279,1847542,2011,41.7367308910256,-87.5857858219176,"(41.736730891025566, -87.58578582191763)"
"631236",8402719,"12/16/2011 09:00:00 PM","072XX S PERRY AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1176607,1857091,2011,41.7632047456763,-87.6282612888668,"(41.76320474567632, -87.62826128886682)"
"631391",8592550,"12/16/2011 06:00:00 PM","065XX S MARSHFIELD AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1166417,1861098,2011,41.7744236162958,-87.665495520132,"(41.77442361629582, -87.66549552013201)"
"631443",8402608,"12/16/2011 05:00:00 PM","024XX W GRENSHAW ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1160411,1895016,2011,41.8676245273883,-87.6865766646282,"(41.86762452738829, -87.68657666462816)"
"631985",8402472,"12/16/2011 03:00:00 AM","080XX S MORGAN ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1171008,1851326,2011,41.7475089446881,-87.6489507132116,"(41.747508944688136, -87.64895071321162)"
"631999",8401463,"12/16/2011 01:51:00 AM","039XX N SHERIDAN RD","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1168850,1926543,2011,41.9539578119327,-87.6546800327251,"(41.95395781193268, -87.6546800327251)"
