"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"970300",19727,"12/30/2010 10:35:00 PM","060XX W DIVERSEY AVE","HOMICIDE","FIRST DEGREE MURDER",1135880,1917949,2010,41.9310274360346,-87.7760883678098,"(41.931027436034555, -87.77608836780979)"
"970322",19726,"12/30/2010 10:14:00 PM","028XX S ARCHER AVE","HOMICIDE","FIRST DEGREE MURDER",1169228,1886183,2010,41.8431991819884,-87.6544644930565,"(41.843199181988396, -87.65446449305648)"
"971251",19725,"12/29/2010 08:25:00 PM","100XX S CALHOUN AVE","HOMICIDE","FIRST DEGREE MURDER",1194847,1838797,2010,41.7125747431102,-87.5620102849731,"(41.71257474311023, -87.56201028497314)"
"972247",19724,"12/28/2010 04:41:00 PM","061XX S SACRAMENTO AVE","HOMICIDE","FIRST DEGREE MURDER",1157470,1863956,2010,41.7824523610609,-87.698216517743,"(41.78245236106092, -87.69821651774303)"
"973381",19722,"12/27/2010 12:25:00 AM","057XX S MOZART ST","HOMICIDE","FIRST DEGREE MURDER",1158312,1866600,2010,41.7896907602185,-87.6950575201736,"(41.78969076021853, -87.69505752017358)"
"973444",19740,"12/26/2010 10:00:00 PM","091XX S LAFLIN ST","HOMICIDE","FIRST DEGREE MURDER",1167896,1844233,2010,41.7281120858545,-87.6605571859163,"(41.72811208585455, -87.66055718591629)"
"977898",19721,"12/20/2010 08:47:00 PM","015XX S RIDGEWAY AVE","HOMICIDE","FIRST DEGREE MURDER",1151664,1892293,2010,41.8603286503595,-87.7187600924656,"(41.86032865035949, -87.71876009246556)"
"977961",19720,"12/20/2010 07:00:00 PM","007XX E 731","HOMICIDE","FIRST DEGREE MURDER",1183758,1819027,2010,41.6585885987977,-87.6032346941953,"(41.65858859879766, -87.60323469419527)"
"978827",19719,"12/19/2010 06:56:00 PM","009XX N 914","HOMICIDE","FIRST DEGREE MURDER",1149846,1905912,2010,41.8977362211786,-87.7250792658649,"(41.897736221178555, -87.72507926586492)"
"981069",19715,"12/17/2010 12:25:00 AM","038XX W FLOURNOY ST","HOMICIDE","FIRST DEGREE MURDER",1150692,1896710,2010,41.8724684481218,-87.7222126650848,"(41.87246844812178, -87.72221266508475)"
"981351",19714,"12/16/2010 06:00:00 PM","049XX S MICHIGAN AVE","HOMICIDE","FIRST DEGREE MURDER",1178038,1872081,2010,41.8043065063018,-87.62256228003,"(41.80430650630182, -87.62256228002997)"
"983772",19713,"12/13/2010 09:12:00 PM","113XX S CALUMET AVE","HOMICIDE","FIRST DEGREE MURDER",1180558,1829904,2010,41.6885104869157,-87.6146122112625,"(41.68851048691567, -87.61461221126245)"
"984356",19711,"12/13/2010 02:02:00 AM","057XX S DAMEN AVE","HOMICIDE","FIRST DEGREE MURDER",1163966,1866622,2010,41.7896340746067,-87.6743252951448,"(41.78963407460673, -87.67432529514484)"
"985089",19709,"12/11/2010 11:30:00 PM","071XX S PAULINA ST","HOMICIDE","FIRST DEGREE MURDER",1166289,1857261,2010,41.7638971065481,-87.666073869995,"(41.76389710654813, -87.66607386999503)"
"985182",19712,"12/11/2010 09:00:00 PM","011XX N SPRINGFIELD AVE","HOMICIDE","FIRST DEGREE MURDER",1150132,1907450,2010,41.9019510794242,-87.723988687922,"(41.90195107942415, -87.72398868792204)"
"985214",19710,"12/11/2010 08:10:00 PM","085XX S HERMITAGE AVE","HOMICIDE","FIRST DEGREE MURDER",1166206,1848042,2010,41.7386006337111,-87.6666399129571,"(41.73860063371112, -87.66663991295707)"
"987467",19708,"12/09/2010 10:34:00 AM","066XX S MARQUETTE RD","HOMICIDE","FIRST DEGREE MURDER",1180672,1861221,2010,41.7744454878861,-87.6132356852978,"(41.77444548788613, -87.61323568529775)"
"989263",19706,"12/07/2010 07:35:00 AM","104XX S MICHIGAN AVE","HOMICIDE","FIRST DEGREE MURDER",1178928,1835862,2010,41.7048972424191,-87.6203989618295,"(41.70489724241911, -87.62039896182947)"
"989453",19705,"12/06/2010 09:43:00 PM","008XX N 856","HOMICIDE","FIRST DEGREE MURDER",1152843,1905691,2010,41.8970709420731,-87.7140773976661,"(41.8970709420731, -87.71407739766613)"
"990790",19704,"12/05/2010 03:00:00 AM","047XX S ADA ST","HOMICIDE","FIRST DEGREE MURDER",1168172,1873164,2010,41.8074965661921,-87.6587149018094,"(41.8074965661921, -87.6587149018094)"
"992826",19702,"12/02/2010 09:25:00 PM","018XX W 56TH ST","HOMICIDE","FIRST DEGREE MURDER",1165228,1867508,2010,41.792038730334,-87.6696728351823,"(41.792038730333985, -87.66967283518225)"
"993280",19703,"12/02/2010 12:30:00 PM","090XX S ADA ST","HOMICIDE","FIRST DEGREE MURDER",1168873,1844830,2010,41.7297293310095,-87.6569610599679,"(41.729729331009544, -87.65696105996786)"
"993618",19701,"12/02/2010 01:34:00 AM","056XX S ASHLAND AVE","HOMICIDE","FIRST DEGREE MURDER",1166591,1867421,2010,41.7917710098264,-87.664677415591,"(41.79177100982645, -87.66467741559096)"
"995420",19698,"11/30/2010 04:27:00 AM","071XX S CYRIL AVE","HOMICIDE","FIRST DEGREE MURDER",1190643,1857774,2010,41.7647517283031,-87.5767954043478,"(41.7647517283031, -87.57679540434782)"
"995471",19696,"11/30/2010 12:55:00 AM","111XX S BELL AVE","HOMICIDE","FIRST DEGREE MURDER",1163331,1830895,2010,41.6916070765673,-87.6776517689105,"(41.69160707656732, -87.67765176891048)"
"995472",19697,"11/30/2010 12:55:00 AM","111XX S BELL AVE","HOMICIDE","FIRST DEGREE MURDER",1163331,1830895,2010,41.6916070765673,-87.6776517689105,"(41.69160707656732, -87.67765176891048)"
"995473",19695,"11/30/2010 12:51:00 AM","111XX S BELL AVE","HOMICIDE","FIRST DEGREE MURDER",1163331,1830895,2010,41.6916070765673,-87.6776517689105,"(41.69160707656732, -87.67765176891048)"
"996298",19694,"11/29/2010 07:16:00 AM","019XX W 63RD ST","HOMICIDE","FIRST DEGREE MURDER",1164305,1862828,2010,41.7792157113087,-87.6731890881418,"(41.77921571130872, -87.67318908814183)"
"996829",19693,"11/28/2010 03:11:00 PM","026XX W 71ST ST","HOMICIDE","FIRST DEGREE MURDER",1159858,1857505,2010,41.7647011569817,-87.6896383892962,"(41.76470115698173, -87.6896383892962)"
"997682",19692,"11/27/2010 04:01:00 PM","031XX W HOMER ST","HOMICIDE","FIRST DEGREE MURDER",1154944,1912750,2010,41.9163995893424,-87.7061711350891,"(41.91639958934238, -87.70617113508908)"
"998631",19690,"11/26/2010 01:34:00 PM","081XX S MANISTEE AVE","HOMICIDE","FIRST DEGREE MURDER",1195960,1851361,2010,41.7470240065982,-87.5575194949332,"(41.74702400659815, -87.55751949493317)"
"998632",19691,"11/26/2010 01:34:00 PM","081XX S MANISTEE AVE","HOMICIDE","FIRST DEGREE MURDER",1195960,1851361,2010,41.7470240065982,-87.5575194949332,"(41.74702400659815, -87.55751949493317)"
