"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"34",9416849,"12/04/2013 02:00:00 AM","081XX S PAULINA ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1166383,1850867,2013,41.7463490795004,-87.6659111457911,"(41.74634907950039, -87.6659111457911)"
"1062",9416861,"12/02/2013 06:30:00 PM","107XX S HOXIE AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1195191,1834010,2013,41.6994302764355,-87.5609077272417,"(41.699430276435535, -87.56090772724166)"
"1125",9412346,"12/02/2013 05:15:00 PM","017XX N PULASKI RD","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1149397,1911545,2013,41.9132024571184,-87.7265820653918,"(41.9132024571184, -87.72658206539184)"
"1299",9412095,"12/02/2013 01:12:00 PM","032XX N LECLAIRE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1141833,1921201,2013,41.9398429909516,-87.7541312285289,"(41.939842990951554, -87.75413122852889)"
"2174",9410748,"12/01/2013 06:50:00 AM","0000X W CTA 95TH ST LN","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1177778,1842405,2013,41.7228781666311,-87.624412817706,"(41.72287816663112, -87.62441281770599)"
"2552",9410117,"11/30/2013 06:32:00 PM","005XX W MONTROSE DR","SEX OFFENSE","OTHER",1171998,1929602,2013,41.9622828072139,-87.6430171151558,"(41.96228280721393, -87.64301711515581)"
"2965",9411199,"11/30/2013 03:00:00 AM","098XX S UNIVERSITY AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1185659,1839712,2013,41.7153065449486,-87.5956303795906,"(41.715306544948554, -87.59563037959057)"
"2986",9416668,"11/30/2013 02:00:00 AM","0000X E 9TH ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1176880,1896253,2013,41.8706625345129,-87.626079295094,"(41.870662534512924, -87.62607929509403)"
"3397",9410756,"11/29/2013 04:00:00 PM","021XX W 111TH ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1163731,1831028,2013,41.6919636872433,-87.6761835993398,"(41.691963687243266, -87.67618359933977)"
"4169",9410072,"11/28/2013 10:00:00 AM","075XX S DR MARTIN LUTHER KING JR DR","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1180168,1855306,2013,41.7582256762661,-87.6152642661763,"(41.75822567626612, -87.6152642661763)"
"4477",9408234,"11/27/2013 08:00:00 PM","039XX N ROCKWELL ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1158293,1925879,2013,41.9523586012633,-87.6935070225949,"(41.95235860126334, -87.69350702259491)"
"4920",9406728,"11/27/2013 08:23:00 AM","095XX S MANISTEE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1196255,1842268,2013,41.7220647567992,-87.5567392010027,"(41.72206475679923, -87.55673920100271)"
"5445",9405752,"11/26/2013 03:00:00 PM","039XX S ARCHER AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1159050,1878174,2013,41.8214362472243,-87.6920348229453,"(41.821436247224334, -87.6920348229453)"
"5772",9404694,"11/26/2013 02:10:00 AM","119XX S STEWART AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1175822,1825427,2013,41.6763320302037,-87.6320837517625,"(41.676332030203746, -87.63208375176254)"
"6353",9404087,"11/25/2013 08:20:00 AM","009XX N ASHLAND AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1165513,1906501,2013,41.8990332643099,-87.6675192862308,"(41.8990332643099, -87.66751928623083)"
"6437",9403436,"11/25/2013 01:15:00 AM","028XX S RIDGEWAY AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1151867,1885062,2013,41.8404819175646,-87.7182050611183,"(41.840481917564624, -87.71820506111834)"
"6997",9407521,"11/24/2013 03:40:00 AM","012XX W ADDISON ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1167511,1924087,2013,41.9472474358657,-87.6596732945998,"(41.94724743586575, -87.65967329459976)"
"7632",9401927,"11/23/2013 04:25:00 AM","005XX E 38TH ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1180407,1879859,2013,41.8255958747138,-87.6136350633996,"(41.82559587471385, -87.61363506339961)"
"7987",9404012,"11/22/2013 06:00:00 PM","027XX W MELROSE ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1157374,1921419,2013,41.9401388507407,-87.6970070144043,"(41.94013885074073, -87.69700701440433)"
"7988",9405147,"11/22/2013 06:00:00 PM","025XX W 63RD ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1160709,1862762,2013,41.7791095957488,-87.686374276599,"(41.77910959574878, -87.68637427659898)"
"8002",9401673,"11/22/2013 05:35:00 PM","022XX W 62ND ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1162150,1863523,2013,41.781168011473,-87.6810702440639,"(41.781168011473014, -87.6810702440639)"
