"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"969447",7869528,"12/31/2010 11:25:00 PM","047XX N RACINE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1167411,1931877,2010,41.9686256525332,-87.6598158144161,"(41.968625652533184, -87.65981581441609)"
"969605",8089800,"12/31/2010 08:00:00 PM","015XX N WASHTENAW AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1158178,1910006,2010,41.9088043251993,-87.6943646162734,"(41.90880432519927, -87.6943646162734)"
"969608",7886985,"12/31/2010 08:00:00 PM","010XX N RUSH ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1176242,1907532,2010,41.9016271285328,-87.6280812658269,"(41.90162712853281, -87.62808126582694)"
"970617",7868104,"12/30/2010 04:20:00 PM","044XX N LINCOLN AVE","SEX OFFENSE","INDECENT SOLICITATION/CHILD",1160673,1929737,2010,41.9628960652556,-87.6846507203677,"(41.96289606525564, -87.68465072036774)"
"971079",7868016,"12/30/2010 12:30:00 AM","015XX W JARVIS AVE","SEX OFFENSE","PUBLIC INDECENCY",1164757,1949091,2010,42.0159181758689,-87.669083477224,"(42.01591817586893, -87.66908347722399)"
"971135",8060055,"12/29/2010 11:00:00 PM","023XX W 24TH PL","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1161136,1887653,2010,41.847404698793,-87.6841194536867,"(41.847404698793035, -87.68411945368672)"
"971539",7867193,"12/29/2010 02:30:00 PM","015XX E 74TH ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1187831,1856269,2010,41.7606892808004,-87.5871498526282,"(41.760689280800385, -87.58714985262822)"
"972128",7996795,"12/28/2010 07:00:00 PM","034XX W FRANKLIN BLVD","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1153191,1903156,2010,41.8901077536047,-87.7128665676455,"(41.89010775360472, -87.7128665676455)"
"972206",7865453,"12/28/2010 05:30:00 PM","011XX W GRANVILLE AVE","SEX OFFENSE","PUBLIC INDECENCY",1167361,1941367,2010,41.9946675488026,-87.6597252425266,"(41.994667548802575, -87.65972524252656)"
"972389",7872466,"12/28/2010 01:30:00 PM","027XX W DEVON AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1156615,1942381,2010,41.9976751577603,-87.6992263813116,"(41.99767515776033, -87.6992263813116)"
