"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"969627",7869407,"12/31/2010 07:55:00 PM","044XX S GREENWOOD AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1184378,1875559,2010,41.813704172029,-87.5992014280098,"(41.81370417202902, -87.59920142800979)"
"969702",7869418,"12/31/2010 05:42:00 PM","103XX S INDIANA AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1179447,1836461,2010,41.7065291731988,-87.6184802552799,"(41.70652917319875, -87.61848025527995)"
"969835",7871768,"12/31/2010 03:00:00 PM","022XX S KIRKLAND AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1147742,1888745,2010,41.850668625261,-87.7332479207973,"(41.85066862526098, -87.73324792079734)"
"970014",7911081,"12/31/2010 10:00:00 AM","027XX W LEXINGTON ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1158088,1896546,2010,41.8718707103749,-87.6950630372347,"(41.871870710374935, -87.69506303723473)"
"970093",7868966,"12/31/2010 06:40:00 AM","027XX N AUSTIN AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1135877,1917830,2010,41.930700940277,-87.7761022345222,"(41.93070094027701, -87.7761022345222)"
"970486",7868350,"12/30/2010 07:01:00 PM","052XX N SPAULDING AVE","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1153395,1934625,2010,41.9764571090757,-87.7112788632934,"(41.97645710907572, -87.71127886329344)"
"970591",7877756,"12/30/2010 05:00:00 PM","063XX S DR MARTIN LUTHER KING JR DR","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1179977,1862728,2010,41.7785967871938,-87.6157373157641,"(41.77859678719376, -87.6157373157641)"
"970616",7870862,"12/30/2010 04:24:00 PM","033XX W POLK ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1154301,1896213,2010,41.8710333538191,-87.7089756194082,"(41.87103335381908, -87.70897561940816)"
"970677",7868493,"12/30/2010 03:00:00 PM","055XX W GRAND AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1138769,1913442,2010,41.918607719538,-87.7655813635157,"(41.91860771953802, -87.76558136351572)"
"970832",7867697,"12/30/2010 11:01:00 AM","051XX W IOWA ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1141787,1905539,2010,41.8968656373712,-87.7546886896278,"(41.89686563737117, -87.75468868962776)"
"970864",7867807,"12/30/2010 10:15:00 AM","022XX N KEDZIE BLVD","OFFENSE INVOLVING CHILDREN","AGG CRIM SEX ABUSE FAM MEMBER",1154717,1914487,2010,41.9211706135948,-87.7069585167294,"(41.92117061359482, -87.70695851672942)"
"970931",7883897,"12/30/2010 08:00:00 AM","057XX S CARPENTER ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1170341,1866437,2010,41.7889899428595,-87.6509554987658,"(41.788989942859494, -87.65095549876581)"
"970988",7870145,"12/30/2010 05:00:00 AM","072XX S HARVARD AVE","OFFENSE INVOLVING CHILDREN","CHILD ABANDONMENT",1175251,1856885,2010,41.7626698504366,-87.633237404634,"(41.762669850436616, -87.63323740463402)"
"971099",7975497,"12/30/2010 12:00:00 AM","0000X S OAKLEY BLVD","OFFENSE INVOLVING CHILDREN","AGG CRIM SEX ABUSE FAM MEMBER",1161131,1899761,2010,41.880630328213,-87.6838016022071,"(41.880630328212995, -87.68380160220714)"
"971511",7867674,"12/29/2010 03:00:00 PM","007XX S ST LOUIS AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1153126,1896281,2010,41.8712433247615,-87.7132876907964,"(41.87124332476147, -87.71328769079645)"
"971692",7866293,"12/29/2010 10:00:00 AM","087XX S WALLACE ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1173876,1846770,2010,41.7349436093219,-87.6385763249021,"(41.73494360932185, -87.6385763249021)"
"972271",7865432,"12/28/2010 04:00:00 PM","040XX N MILWAUKEE AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1143229,1926447,2010,41.95421249337,-87.7488689611887,"(41.95421249336997, -87.74886896118868)"
"972711",8724026,"12/28/2010 12:00:00 AM","053XX W DRUMMOND PL","OFFENSE INVOLVING CHILDREN","AGG SEX ASSLT OF CHILD FAM MBR",NA,NA,2010,NA,NA,""
"972712",7920110,"12/28/2010 12:00:00 AM","012XX S DAMEN AVE","OFFENSE INVOLVING CHILDREN","CHILD PORNOGRAPHY",1163200,1894244,2010,41.8654479717941,-87.6763594771741,"(41.865447971794076, -87.67635947717413)"
"973453",7892657,"12/26/2010 10:00:00 PM","054XX W OHIO ST","OFFENSE INVOLVING CHILDREN","AGG SEX ASSLT OF CHILD FAM MBR",1139685,1903391,2010,41.891009905131,-87.7624616047409,"(41.89100990513103, -87.76246160474093)"
"973563",7862542,"12/26/2010 07:02:00 PM","050XX S KEDZIE AVE","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1155858,1870948,2010,41.8016719244119,-87.7039389495447,"(41.8016719244119, -87.70393894954468)"
"973566",7864069,"12/26/2010 07:00:00 PM","029XX W 38TH PL","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1157087,1878910,2010,41.8234959027703,-87.6992162354873,"(41.82349590277032, -87.69921623548733)"
"973589",7923141,"12/26/2010 06:30:00 PM","015XX N LECLAIRE AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1142052,1909742,2010,41.908394241151,-87.7536110533389,"(41.90839424115097, -87.75361105333889)"
"973612",7879998,"12/26/2010 06:00:00 PM","080XX S PRAIRIE AVE","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1179465,1851866,2010,41.7488020040311,-87.6179455036088,"(41.748802004031134, -87.61794550360875)"
"973618",7864173,"12/26/2010 06:00:00 PM","068XX W DIVERSEY AVE","OFFENSE INVOLVING CHILDREN","CONTRIBUTE CRIM DELINQUENCY JUVENILE",1130573,1917902,2010,41.9309914555986,-87.7955919965262,"(41.93099145559861, -87.79559199652618)"
"973631",7865550,"12/26/2010 05:30:00 PM","088XX S LOOMIS ST","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1168501,1846245,2010,41.7336203112612,-87.6582831487438,"(41.733620311261156, -87.65828314874376)"
"973662",7862511,"12/26/2010 04:34:00 PM","016XX S TROY ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1155674,1891349,2010,41.8576584997264,-87.7040657110865,"(41.85765849972641, -87.70406571108653)"
"974011",7875262,"12/26/2010 12:00:00 AM","051XX N MARINE DR","OFFENSE INVOLVING CHILDREN","AGG CRIM SEX ABUSE FAM MEMBER",1169539,1934366,2010,41.9754093655304,-87.65191849486,"(41.97540936553037, -87.65191849486004)"
"974154",8386304,"12/25/2010 06:30:00 PM","020XX N KEDZIE AVE","OFFENSE INVOLVING CHILDREN","CHILD PORNOGRAPHY",1154758,1913296,2010,41.9179015894246,-87.7068398410809,"(41.91790158942463, -87.70683984108086)"
"974176",7862111,"12/25/2010 05:50:00 PM","016XX S HARDING AVE","OFFENSE INVOLVING CHILDREN","AGG SEX ASSLT OF CHILD FAM MBR",1150285,1891541,2010,41.8582920477969,-87.7238416903912,"(41.85829204779692, -87.7238416903912)"
"974187",7865519,"12/25/2010 05:00:00 PM","061XX S KILDARE AVE","OFFENSE INVOLVING CHILDREN","CRIM SEX ABUSE BY FAM MEMBER",1148796,1863595,2010,41.7816331296368,-87.7300275652049,"(41.781633129636795, -87.73002756520488)"
"974317",7861636,"12/25/2010 10:45:00 AM","035XX S LAKE PARK AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1181837,1881854,2010,41.8310373040254,-87.6083270424523,"(41.83103730402535, -87.60832704245227)"
"974334",7862082,"12/25/2010 10:00:00 AM","081XX S PRAIRIE AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1179412,1850905,2010,41.7461661184029,-87.6181689821448,"(41.74616611840289, -87.61816898214481)"
"974348",7861511,"12/25/2010 09:00:00 AM","065XX W 63RD ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1133703,1861990,2010,41.7775059728255,-87.7854007855162,"(41.77750597282554, -87.78540078551623)"
"974622",7861298,"12/24/2010 08:09:00 PM","042XX N RIDGEWAY AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1150675,1927775,2010,41.9577140124578,-87.7214613862624,"(41.957714012457785, -87.7214613862624)"
"974669",7861196,"12/24/2010 07:00:00 PM","019XX W MONTEREY AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1165808,1830858,2010,41.6914534442777,-87.6685841878571,"(41.6914534442777, -87.66858418785706)"
"974734",7932290,"12/24/2010 05:00:00 PM","063XX S FRANCISCO AVE","OFFENSE INVOLVING CHILDREN","AGG CRIM SEX ABUSE FAM MEMBER",1158102,1862279,2010,41.7778375990127,-87.6959449807731,"(41.77783759901271, -87.69594498077308)"
"974744",7861190,"12/24/2010 05:00:00 PM","078XX S HALSTED ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1172283,1852998,2010,41.752069205716,-87.6442296774616,"(41.75206920571599, -87.64422967746158)"
"974745",7865594,"12/24/2010 05:00:00 PM","035XX W 77TH ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1154156,1853277,2010,41.7532140350495,-87.7106501557036,"(41.75321403504947, -87.71065015570365)"
"974758",7862180,"12/24/2010 05:00:00 PM","018XX W CERMAK RD","OFFENSE INVOLVING CHILDREN","AGG CRIM SEX ABUSE FAM MEMBER",1164353,1889395,2010,41.8521175739296,-87.6722638311024,"(41.85211757392963, -87.67226383110236)"
"974839",7861140,"12/24/2010 03:00:00 PM","020XX E 72ND ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1191203,1857592,2010,41.7642387715985,-87.5747487685927,"(41.76423877159854, -87.5747487685927)"
