"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"1339784",19234,"12/30/2009 11:42:00 PM","051XX N ST LOUIS AVE","HOMICIDE","FIRST DEGREE MURDER",1152075,1934142,2009,41.9751579281379,-87.7161458723577,"(41.97515792813787, -87.71614587235767)"
"1339959",19233,"12/30/2009 08:10:00 PM","003XX W 333","HOMICIDE","FIRST DEGREE MURDER",1176062,1825971,2009,41.6778194880963,-87.6311890689223,"(41.677819488096304, -87.63118906892231)"
"1340383",19231,"12/30/2009 12:30:00 PM","038XX W ROOSEVELT RD","HOMICIDE","FIRST DEGREE MURDER",1150825,1894473,2009,41.8663272649485,-87.721782870869,"(41.86632726494847, -87.72178287086903)"
"1340574",19232,"12/30/2009 05:45:00 AM","010XX W 14TH ST","HOMICIDE","FIRST DEGREE MURDER",1169664,1893608,2009,41.8635645423226,-87.652648484639,"(41.863564542322635, -87.65264848463902)"
"1340618",19229,"12/30/2009 02:12:00 AM","035XX S DR MARTIN LUTHER KING JR DR","HOMICIDE","FIRST DEGREE MURDER",1179397,1881432,2009,41.8299354638212,-87.6172923653629,"(41.82993546382116, -87.61729236536287)"
"1342425",19226,"12/27/2009 09:31:00 PM","082XX S EVANS AVE","HOMICIDE","FIRST DEGREE MURDER",1182615,1850722,2009,41.7455902955338,-87.6064382675793,"(41.74559029553377, -87.60643826757926)"
"1343132",19225,"12/26/2009 10:42:00 PM","043XX S EVANS AVE","HOMICIDE","FIRST DEGREE MURDER",1181954,1876212,2009,41.8155525353833,-87.6080725090427,"(41.81555253538335, -87.60807250904269)"
"1344727",19224,"12/24/2009 04:48:00 PM","008XX E 818","HOMICIDE","FIRST DEGREE MURDER",1182621,1874067,2009,41.8096510174815,-87.6056924866171,"(41.80965101748147, -87.60569248661713)"
"1345215",19223,"12/23/2009 11:10:00 PM","070XX W GRAND AVE","HOMICIDE","FIRST DEGREE MURDER",1128760,1915136,2009,41.9234322150502,-87.8023174959817,"(41.923432215050205, -87.8023174959817)"
"1345957",19222,"12/23/2009 04:55:00 AM","017XX N LONG AVE","HOMICIDE","FIRST DEGREE MURDER",1140094,1910860,2009,41.9114982488493,-87.7607764568113,"(41.91149824884933, -87.76077645681127)"
"1347571",19221,"12/21/2009 11:35:00 AM","068XX N WAYNE AVE","HOMICIDE","FIRST DEGREE MURDER",1165861,1945509,2009,42.0060655298649,-87.6651240047225,"(42.00606552986491, -87.66512400472251)"
"1348055",19220,"12/20/2009 07:47:00 PM","068XX S ARTESIAN AVE","HOMICIDE","FIRST DEGREE MURDER",1161175,1859428,2009,41.7699509987402,-87.6847580458937,"(41.76995099874023, -87.68475804589373)"
"1348967",19219,"12/19/2009 08:02:00 PM","093XX S MAY ST","HOMICIDE","FIRST DEGREE MURDER",1170335,1842870,2009,41.7243191572631,-87.651662199189,"(41.72431915726314, -87.65166219918898)"
"1352142",19217,"12/16/2009 04:46:00 PM","029XX W IRVING PARK RD","HOMICIDE","FIRST DEGREE MURDER",1156038,1926404,2009,41.9538451318221,-87.7017822642313,"(41.95384513182208, -87.7017822642313)"
"1352297",19216,"12/16/2009 02:02:00 PM","055XX S SEELEY AVE","HOMICIDE","FIRST DEGREE MURDER",1163679,1867855,2009,41.7930236152618,-87.6753430381966,"(41.79302361526182, -87.6753430381966)"
"1352824",19215,"12/15/2009 09:22:00 PM","059XX S WABASH AVE","HOMICIDE","FIRST DEGREE MURDER",1177768,1865774,2009,41.7870056195623,-87.6237434412043,"(41.7870056195623, -87.62374344120431)"
"1353294",19214,"12/15/2009 12:20:00 PM","038XX W DIVERSEY AVE","HOMICIDE","FIRST DEGREE MURDER",1150190,1918300,2009,41.9317233526282,-87.7234922509613,"(41.93172335262818, -87.72349225096126)"
"1355193",19213,"12/13/2009 12:55:00 PM","044XX W THOMAS ST","HOMICIDE","FIRST DEGREE MURDER",1146699,1906921,2009,41.900565668404,-87.7366121883683,"(41.90056566840403, -87.7366121883683)"
"1355395",19212,"12/13/2009 04:40:00 AM","031XX W 45TH ST","HOMICIDE","FIRST DEGREE MURDER",1156198,1874675,2009,41.8118924746597,-87.7025917185531,"(41.81189247465969, -87.70259171855311)"
"1355452",19211,"12/13/2009 02:37:00 AM","029XX E 79TH ST","HOMICIDE","FIRST DEGREE MURDER",1197451,1853119,2009,41.7518110668426,-87.5519976987893,"(41.75181106684263, -87.55199769878926)"
"1355724",19207,"12/12/2009 09:00:00 PM","003XX W 317","HOMICIDE","FIRST DEGREE MURDER",1174978,1870769,2009,41.8007751411326,-87.6338240226065,"(41.800775141132554, -87.63382402260648)"
"1356386",19209,"12/12/2009 04:12:00 AM","041XX W LAKE ST","HOMICIDE","FIRST DEGREE MURDER",1148773,1901459,2009,41.8855375184688,-87.7291354805809,"(41.8855375184688, -87.72913548058088)"
"1356478",19208,"12/12/2009 01:15:00 AM","053XX S MARSHFIELD AVE","HOMICIDE","FIRST DEGREE MURDER",1166207,1869369,2009,41.7971247434485,-87.6660300291497,"(41.7971247434485, -87.66603002914968)"
"1356733",19206,"12/11/2009 08:05:00 PM","078XX S KINGSTON AVE","HOMICIDE","FIRST DEGREE MURDER",1194586,1853604,2009,41.7532128612512,-87.5624804594951,"(41.75321286125123, -87.5624804594951)"
"1357644",19204,"12/10/2009 08:20:00 PM","083XX S RHODES AVE","HOMICIDE","FIRST DEGREE MURDER",1181204,1849940,2009,41.7434769916252,-87.6116324164731,"(41.74347699162523, -87.61163241647313)"
"1357673",19203,"12/10/2009 07:44:00 PM","016XX W 78TH ST","HOMICIDE","FIRST DEGREE MURDER",1166936,1852952,2009,41.7520588248115,-87.6638253757341,"(41.75205882481155, -87.66382537573413)"
"1358400",19199,"12/09/2009 09:50:00 PM","113XX S ABERDEEN ST","HOMICIDE","FIRST DEGREE MURDER",1171070,1829303,2009,41.6870732252275,-87.6493646184787,"(41.687073225227536, -87.64936461847871)"
"1358401",19200,"12/09/2009 09:50:00 PM","113XX S ABERDEEN ST","HOMICIDE","FIRST DEGREE MURDER",1171070,1829303,2009,41.6870732252275,-87.6493646184787,"(41.687073225227536, -87.64936461847871)"
"1358969",19202,"12/09/2009 10:25:00 AM","050XX N CENTRAL PARK AVE","HOMICIDE","FIRST DEGREE MURDER",1151427,1933539,2009,41.9735160447864,-87.7185447157028,"(41.9735160447864, -87.71854471570285)"
"1359528",19197,"12/08/2009 05:45:00 PM","043XX W OGDEN AVE","HOMICIDE","FIRST DEGREE MURDER",1147599,1887776,2009,41.8480123042525,-87.7337975934203,"(41.84801230425248, -87.7337975934203)"
"1362731",19195,"12/05/2009 05:01:00 AM","036XX W GRAND AVE","HOMICIDE","FIRST DEGREE MURDER",1152085,1907562,2009,41.9022201276261,-87.7168120538881,"(41.90222012762612, -87.71681205388815)"
"1362906",19196,"12/05/2009 12:01:00 AM","027XX W CERMAK RD","HOMICIDE","FIRST DEGREE MURDER",1158406,1889317,2009,41.8520270927092,-87.694093140187,"(41.8520270927092, -87.69409314018698)"
"1363777",19192,"12/04/2009 06:43:00 AM","005XX W 511","HOMICIDE","FIRST DEGREE MURDER",1174117,1855145,2009,41.7579203323399,-87.63744526669,"(41.75792033233993, -87.63744526669002)"
"1364777",19194,"12/03/2009 04:32:00 AM","004XX W 441","HOMICIDE","FIRST DEGREE MURDER",1174266,1863449,2009,41.7807041606273,-87.636652687481,"(41.78070416062731, -87.63665268748103)"
"1364782",19191,"12/03/2009 03:50:00 AM","001XX W 147","HOMICIDE","FIRST DEGREE MURDER",1176436,1855878,2009,41.7598799789472,-87.6289244386262,"(41.75987997894722, -87.62892443862619)"
"1365325",19190,"12/02/2009 02:56:00 PM","014XX N KILDARE AVE","HOMICIDE","FIRST DEGREE MURDER",1147410,1909254,2009,41.9069540625542,-87.7339407461919,"(41.90695406255423, -87.7339407461919)"
