School,Latitude,Longitude
L. Hughes,41.7071352,-87.6259061
L. Hughes,41.7071536,-87.623499
Jensen,41.8737449,-87.7010039
Jensen,41.8719066,-87.7009496
Jensen,41.8700909,-87.7008848
Jensen,41.8682741,-87.700825
Jensen,41.8728491,-87.6985265
Jensen,41.8728903,-87.6936277
Jensen,41.8710254,-87.6984689
Jensen,41.8710884,-87.6935825
Jensen,41.8720235,-87.6901679
Johnson,41.8554132,-87.7053365
Johnson,41.8590909,-87.7054542
Johnson,41.8588495,-87.7029018
Johnson,41.8602447,-87.7029681
Johnson,41.8630176,-87.703041
Lavizzo,41.7034968,-87.6206502
Lavizzo,41.6980845,-87.6208715
Lavizzo,41.6962437,-87.6220166
Lavizzo,41.6962059,-87.6255917
Lavizzo,41.6988993,-87.6280604
Lavizzo,41.6970799,-87.6280189
Lavizzo,41.6952604,-87.6279752
Lavizzo,41.6934364,-87.6279268
Leland,41.8766514,-87.7549133
Leland,41.8748415,-87.7548624
Leland,41.8729366,-87.7548094
Leland,41.8730147,-87.7491445
Leland,41.8740121,-87.7491726
Marshall Middle,41.951927,-87.720208
Marshall Middle,41.9518894,-87.7226588
Marshall Middle,41.9519442,-87.7177581
Mays,41.7724319,-87.6470324
Mays,41.7724635,-87.644593
Mays,41.7725117,-87.6417745
Mays,41.7725281,-87.6406859
Mays,41.7725773,-87.6373319
Mays,41.7743768,-87.6368468
Mays,41.7743657,-87.63879
Mays,41.7743132,-87.6426672
Mays,41.7742819,-87.6446423
McCutcheon,41.9715656,-87.6548763
McPherson,41.9687665,-87.6776956
McPherson,41.966936,-87.6776319
Melody,41.8797528,-87.7256201
Melody,41.8779706,-87.7255607
Melody,41.8761834,-87.7255034
Melody,41.8743513,-87.7254164
Melody,41.8788934,-87.7231593
Melody,41.8752309,-87.7279282
Melody,41.8751682,-87.7328244
Mollison,41.8093865,-87.6165924
Mollison,41.8093318,-87.6195878
Mollison,41.809282,-87.6228278
Mollison,41.8092375,-87.6261431
Mollison,41.8056775,-87.6210991
Mollison,41.8129992,-87.6166914
Morton,41.8896674,-87.7014882
Morton,41.8900919,-87.7039193
Morton,41.8900667,-87.7063809
Morton,41.8875186,-87.7063007
Morton,41.8853888,-87.7062426
Morton,41.8836109,-87.7061864
Morton,41.8864514,-87.703808
Morton,41.886474,-87.7013494
Morton,41.8865306,-87.6964095
Morton,41.8828981,-87.6963298
Morton,41.882858,-87.6987886
Morton,41.8828101,-87.7037042
Nicholson,41.7886211,-87.6596052
Nicholson,41.7886766,-87.6571757
Nicholson,41.788712,-87.6547473
Nicholson,41.7850616,-87.654641
Nicholson,41.7851131,-87.6521805
Nicholson,41.7851428,-87.6497742
Nicholson,41.7851756,-87.6473336
Nicholson,41.7852108,-87.6449179
Nicholson,41.7833812,-87.6448701
Nicholson,41.7888438,-87.6449843
Northwest Middle,41.9204358,-87.7584831
Northwest Middle,41.9241235,-87.7586045
Northwest Middle,41.9240859,-87.7610756
Northwest Middle,41.9239579,-87.7635216
Northwest Middle,41.924028,-87.7659925
Northwest Middle,41.9239756,-87.768421
Northwest Middle,41.9239397,-87.7708475
Northwest Middle,41.9238174,-87.7732667
Northwest Middle,41.9237708,-87.7756984
Northwest Middle,41.9237416,-87.7781393
Northwest Middle,41.9237951,-87.7805641
Northwest Middle,41.9237663,-87.783002
Northwest Middle,41.923732,-87.7853692
Northwest Middle,41.920323,-87.7658414
O'Toole,41.775681,-87.675031
O'Toole,41.7738695,-87.674978
O'Toole,41.7720686,-87.6737057
O'Toole,41.7702557,-87.6736647
O'Toole,41.7684379,-87.673621
O'Toole,41.766622,-87.6735886
O'Toole,41.7648049,-87.6735194
O'Toole,41.7647791,-87.675967
O'Toole,41.7648263,-87.671102
O'Toole,41.7648574,-87.6686744
Otis,41.899774,-87.6624841
Otis,41.8979568,-87.6624361
Otis,41.896125,-87.664033
Otis,41.8961065,-87.6656498
Otis,41.8942757,-87.6656098
Otis,41.8924415,-87.6655461
Pershing East,41.8365737,-87.6194482
Pershing East,41.8365854,-87.61709
Pershing East,41.8336086,-87.6170243
Pershing East,41.8310702,-87.6172979
Pershing East,41.833639,-87.6144648
Pershing East,41.8322816,-87.6110408
Revere,41.7641196,-87.5994189
Revere,41.7641055,-87.6018153
Ryder,41.7416383,-87.6380859
Ryder,41.7391066,-87.640402
Ryder,41.7384334,-87.641598
Ryder,41.7378443,-87.6387944
Ryder,41.7343339,-87.6387043
Ryder,41.7360103,-87.6423774
Ryder,41.7360263,-87.639978
Ryder,41.7360367,-87.637528
Ryder,41.7359518,-87.6351087
Sherwood,41.8017499,-87.6331914
Sherwood,41.7990937,-87.6331164
Sherwood,41.7941506,-87.6329875
Sherwood,41.7902887,-87.632877
Sherwood,41.7941896,-87.6305002
South Shore,41.7696361,-87.5910598
